age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,income
40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,40,>50K
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Female,0,0,20,<=50K
24,State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,White,Male,0,0,50,<=50K
38,Private,Some-college,Divorced,Craft-repair,White,Male,0,1741,40,<=50K
58,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,0,0,45,>50K
32,Private,HS-grad,Never-married,Other-service,White,Female,0,0,34,<=50K
40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,White,Male,0,1977,60,>50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,0,0,40,>50K
42,Private,Bachelors,Married-civ-spouse,Adm-clerical,Black,Female,0,0,40,<=50K
59,Local-gov,10th,Widowed,Other-service,Black,Female,0,0,30,<=50K
19,Local-gov,Some-college,Never-married,Adm-clerical,White,Male,0,0,40,<=50K
58,Private,Some-college,Never-married,Transport-moving,White,Male,0,0,20,<=50K
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,0,0,40,>50K
20,Private,HS-grad,Never-married,Other-service,White,Female,0,0,40,<=50K
32,Private,HS-grad,Separated,Other-service,White,Female,0,0,30,<=50K
45,Private,Assoc-voc,Widowed,Exec-managerial,White,Female,0,0,45,<=50K
50,Private,7th-8th,Divorced,Craft-repair,White,Male,0,0,40,<=50K
36,Private,Bachelors,Divorced,Prof-specialty,White,Female,0,0,40,<=50K
45,Private,HS-grad,Married-civ-spouse,Sales,White,Male,0,0,60,<=50K
17,Private,11th,Never-married,Other-service,White,Male,0,0,12,<=50K
59,Private,Some-college,Married-civ-spouse,Sales,White,Male,4064,0,40,<=50K
26,Private,11th,Married-civ-spouse,Craft-repair,White,Male,0,0,40,<=50K
37,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,0,0,75,>50K
64,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,>50K
33,Private,Bachelors,Never-married,Prof-specialty,White,Female,0,0,45,<=50K
33,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Female,0,0,40,>50K
61,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,>50K
17,Private,9th,Never-married,Other-service,White,Male,1055,0,24,<=50K
50,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,White,Male,2407,0,98,<=50K
27,Local-gov,Masters,Never-married,Prof-specialty,White,Male,0,0,35,<=50K
30,Private,HS-grad,Divorced,Prof-specialty,White,Female,0,0,40,<=50K
43,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Black,Male,0,0,40,<=50K
44,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,7298,0,40,>50K
35,Private,Some-college,Never-married,Exec-managerial,White,Female,0,0,40,<=50K
25,Private,Some-college,Never-married,Tech-support,White,Female,0,0,40,<=50K
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Female,7298,0,48,>50K
22,Private,Bachelors,Never-married,Prof-specialty,White,Female,0,0,15,<=50K
42,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,5178,0,40,>50K
34,Private,Assoc-acdm,Divorced,Sales,Black,Female,0,0,45,<=50K
60,Private,Bachelors,Divorced,Prof-specialty,White,Female,0,0,42,<=50K
21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,0,0,40,<=50K
57,Federal-gov,Masters,Married-civ-spouse,Sales,White,Male,15024,0,40,>50K
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,0,0,60,>50K
50,Private,Some-college,Divorced,Other-service,White,Male,0,0,45,<=50K
25,Private,Bachelors,Never-married,Exec-managerial,White,Female,0,0,40,<=50K
50,Private,7th-8th,Married-civ-spouse,Craft-repair,White,Male,0,0,40,<=50K
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,0,0,45,<=50K
31,Private,HS-grad,Divorced,Prof-specialty,White,Female,0,0,40,<=50K
29,Local-gov,Bachelors,Never-married,Protective-serv,White,Male,0,0,56,<=50K
21,Private,Some-college,Never-married,Sales,White,Male,0,0,45,<=50K
27,Private,Bachelors,Never-married,Tech-support,Black,Female,0,0,40,<=50K
65,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,16,<=50K
37,Self-emp-inc,Bachelors,Divorced,Sales,White,Female,0,0,60,<=50K
24,Private,HS-grad,Never-married,Craft-repair,White,Male,0,0,40,<=50K
38,Private,HS-grad,Divorced,Sales,White,Male,0,0,80,<=50K
48,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,7688,0,40,>50K
21,Private,Some-college,Never-married,Other-service,Asian-Pac-Islander,Female,0,0,25,<=50K
31,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,45,>50K
55,Private,HS-grad,Married-civ-spouse,Sales,White,Male,4386,0,40,>50K
24,Private,Some-college,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,0,0,40,<=50K
43,Private,HS-grad,Divorced,Adm-clerical,White,Female,0,0,40,<=50K
26,Private,Assoc-acdm,Never-married,Tech-support,White,Male,0,0,45,<=50K
46,Private,Assoc-acdm,Never-married,Prof-specialty,White,Female,0,0,33,<=50K
35,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,>50K
41,Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,White,Male,0,0,54,>50K
26,Private,Bachelors,Never-married,Sales,White,Male,0,0,40,<=50K
34,Private,Masters,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,7298,0,35,>50K
36,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Black,Female,0,0,40,>50K
22,Private,Some-college,Never-married,Sales,White,Male,0,0,15,<=50K
24,Private,Some-college,Never-married,Machine-op-inspct,White,Male,0,0,40,<=50K
77,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,White,Male,0,0,40,<=50K
22,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Female,0,0,40,<=50K
29,Private,Some-college,Never-married,Tech-support,White,Female,0,0,40,<=50K
62,Private,HS-grad,Widowed,Other-service,White,Female,0,0,24,<=50K
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,0,0,40,<=50K
43,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,0,1485,50,<=50K
35,Private,HS-grad,Divorced,Transport-moving,White,Male,0,0,45,<=50K
29,Private,11th,Never-married,Exec-managerial,White,Female,0,0,40,<=50K
76,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,White,Male,0,0,10,<=50K
63,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,0,0,45,<=50K
43,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Female,0,1887,50,>50K
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,0,0,40,<=50K
66,Private,HS-grad,Never-married,Transport-moving,White,Male,2050,0,55,<=50K
41,Private,Some-college,Never-married,Craft-repair,Black,Male,0,0,45,<=50K
26,Private,Bachelors,Never-married,Adm-clerical,White,Male,0,0,40,<=50K
47,Private,Assoc-voc,Never-married,Other-service,White,Male,0,0,40,<=50K
55,Local-gov,10th,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,<=50K
53,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,0,0,40,<=50K
17,Private,5th-6th,Never-married,Other-service,White,Male,0,0,48,<=50K
30,Private,HS-grad,Never-married,Craft-repair,White,Male,0,0,40,<=50K
49,Private,Masters,Never-married,Prof-specialty,White,Male,0,0,60,<=50K
19,Private,HS-grad,Never-married,Sales,Black,Male,0,0,30,<=50K
45,Private,HS-grad,Married-civ-spouse,Other-service,Black,Male,0,0,40,<=50K
26,Private,Assoc-acdm,Never-married,Sales,White,Male,0,0,40,<=50K
38,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,7298,0,40,>50K
36,State-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,7298,0,40,>50K
33,Private,HS-grad,Never-married,Farming-fishing,White,Male,0,0,20,<=50K
22,State-gov,Some-college,Never-married,Protective-serv,Black,Female,0,0,40,<=50K
43,Self-emp-not-inc,Bachelors,Never-married,Sales,White,Male,0,0,42,<=50K
56,Private,Assoc-acdm,Married-spouse-absent,Other-service,White,Male,0,0,25,<=50K
31,Private,Bachelors,Never-married,Prof-specialty,White,Male,0,0,25,<=50K
